id,category,search_key,title,content,image_url,created_at,updated_at
0613b912-af4b-46b3-b4b8-70636574bb7d,General Info,vision,College Vision,"To become a center of academic excellence by providing quality education, practical training, and research opportunities that shape responsible and capable citizens for the future.",,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
13de6463-0448-4ae0-b4f4-7cdaa4b13ea9,History,milestone_2010,Milestone 2010,PG in Urdu introduced,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
17abb6ec-3744-49d1-8bfb-87f5a9d304ac,Exam Rule,exam_arts_generalhindihistorypolscsociologyetc,"Passing Rules: Arts General (Hindi, History, Pol Sc, Sociology, etc.)","Subject: General (Hindi, History, Pol Sc, Sociology, etc.). Theory Max/Min: 200/72. Practical Max/Min: 0/0. Total: 200. Notes: 2 papers of 100 marks each.",,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
25722405-f361-4287-9e62-e8b5fe888d99,History,milestone_1957,Milestone 1957,Economics added to Faculty of Arts,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
2c1b0dde-65df-4721-943a-0a5269c9e595,History,milestone_1954,Milestone 1954,"Faculty of Arts started (English, Hindi, History, Pol Science)",,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
2e2bdcb7-dbfd-40ee-92bf-985a6319cd4a,Exam Rule,exam_science_botany,Passing Rules: Science Botany,Subject: Botany. Theory Max/Min: 135/48. Practical Max/Min: 65/24. Total: 200. Notes: 3 papers of 45 marks each. 36% aggregate in theory + 36% in practical required.,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
3661da71-e79a-4b63-b7b1-de46e71ede2a,Exam Rule,exam_arts_geography,Passing Rules: Arts Geography,Subject: Geography. Theory Max/Min: 150/54. Practical Max/Min: 50/18. Total: 200. Notes: 2 papers of 75 marks each + Practical.,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
48f325cc-20c5-4ec2-a465-31afcb466350,Exam Rule,exam_arts_homescience,Passing Rules: Arts Home Science,Subject: Home Science. Theory Max/Min: 150/54. Practical Max/Min: 50/18. Total: 200. Notes: 2 papers of 75 marks each + Practical.,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
4a98f5a7-baf2-4eaa-986f-ee62e2af78ab,General Info,exam_theory,2. Theory Exam Pattern,"Theory papers are divided into:
- Section A: 10 Very Short Answer questions.
- Section B: 5 Short Answer questions (approx 25 marks).
- Section C: 3 Long Answer questions (approx 45 marks).
Total Theory Marks: 80 or 100 depending on the subject. Passing requires approx 36% (29 out of 80).",,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
503ae325-af4f-4c97-b9b2-73ece6fe7127,General Info,mission,College Mission,"1. To provide inspired learning and construct value based education system.\n2. To ensure exposure to diverse disciplines.\n3. To encourage merit and enhance employability skills.\n4. To instil a culture of hands-on learning and research.\n5. To impart quality education at an affordable price.\n6. To make available quality education to disadvantageous, marginalized and differently able students.\n7. To lay stress on holistic development of the students’ personality by ensuring their participation in co-curricular and extra-curricular activities.\n8. To inculcate scientific temperament and make them technology-savvy and eco-friendly.",,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
51191a39-b7f1-410f-965b-b15231797c34,History,milestone_1999,Milestone 1999,PG in Geography introduced,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
557d22f6-de1b-4ab6-8c96-82b2c434cd3e,Exam Rule,exam_commerce_abst,Passing Rules: Commerce ABST,Subject: ABST. Theory Max/Min: 200/72. Practical Max/Min: 0/0. Total: 200. Notes: 2 papers of 100 marks each.,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
57bf11fa-6cad-4389-9e15-e06d29811766,Exam Rule,exam_compulsory_elementarycomputerapplications,Passing Rules: Compulsory Elementary Computer Applications,Subject: Elementary Computer Applications. Theory Max/Min: 100/36. Practical Max/Min: 0/0. Total: 100. Notes: Mandatory passing score 36%.,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
6b08cd0a-ccbb-43d5-9583-90252dc1d7f0,History,milestone_1980,Milestone 1980,Post Graduation in Botany,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
6d06ad35-86da-45bc-9aa5-288e3f702187,General Info,founder,Founder: Seth Kanhiya Lal Lohia (1884-1957),"Seth Kanhiya Lal Lohia was an eminent entrepreneur doing a brisk jute business in Calcutta. He dreamed of building a college in his home town for a holy cause during the pre-independence era. He is a visionary who brought this desert town on the educational map. Churu came to be known by Lohia College because of its excellent infrastructure and standards. This uneducated businessman had incredible foresight, providing higher education opportunities when facilities were far away.",,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
77e41aed-1221-4884-a61b-4e7ae605bbda,History,milestone_2006,Milestone 2006,Declared a Model College by Govt of Rajasthan,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
7f4d6bc4-9f8f-4ceb-81dc-b9fd6eb89de1,History,milestone_1972,Milestone 1972,Upgraded to Post Graduate level in Commerce,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
813a8566-d5f6-492d-9213-8722c322b308,Exam Rule,exam_science_zoology,Passing Rules: Science Zoology,Subject: Zoology. Theory Max/Min: 135/48. Practical Max/Min: 65/24. Total: 200. Notes: 3 papers of 45 marks each. 36% aggregate in theory + 36% in practical required.,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
86d64e61-6d03-4233-aaa4-5e64a78b79d7,Exam Rule,exam_science_chemistry,Passing Rules: Science Chemistry,Subject: Chemistry. Theory Max/Min: 135/48. Practical Max/Min: 65/24. Total: 200. Notes: 3 papers of 45 marks each. 36% aggregate in theory + 36% in practical required.,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
87d054e4-4595-4f2a-8df4-3f0bd221a720,Exam Rule,exam_commerce_businessadministration,Passing Rules: Commerce Business Administration,Subject: Business Administration. Theory Max/Min: 200/72. Practical Max/Min: 0/0. Total: 200. Notes: 2 papers of 100 marks each.,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
90fdd613-c01f-4117-ab50-058427a8af79,Exam Rule,exam_compulsory_generalhindi,Passing Rules: Compulsory General Hindi,Subject: General Hindi. Theory Max/Min: 100/36. Practical Max/Min: 0/0. Total: 100. Notes: Mandatory passing score 36%.,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
92c05f10-3372-4ec7-8e18-62a9bf96b394,History,milestone_1949,Milestone 1949,Upgraded as Degree College with Faculty of Commerce,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
99ec5d5b-2206-4f1a-840f-62eda0836f4d,Exam Rule,exam_commerce_eafm,Passing Rules: Commerce EAFM,Subject: EAFM. Theory Max/Min: 200/72. Practical Max/Min: 0/0. Total: 200. Notes: 2 papers of 100 marks each.,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
9a120888-9c9a-4df4-80cb-5b7700686cd1,History,milestone_2013,Milestone 2013,"NAAC awarded ""B"" certificate; Online Admission started",,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
9ea6a214-5c74-4bb1-ba65-82bfeb16197f,History,milestone_1993,Milestone 1993,First Govt college in Rajasthan to start UGC Vocational Communicative English,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
9f69d567-06c0-4a0d-ba9e-ce3c2fcf1595,General Info,exam_passing,4. Passing & Back Rules,"- Minimum Passing: 36% overall (separately in Theory and Practical).
- Back/Due System: If a student fails 1-2 papers, they can reappear in the next session.
- Grace Marks: 1-3 marks can be awarded by the university for borderline cases.
- Division System: 60%+ (1st Div), 50-59% (2nd Div), 36-49% (Pass Div).",,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
9ffd5e91-02ac-4a02-b86d-4349fc58155d,Exam Rule,exam_compulsory_generalenglish,Passing Rules: Compulsory General English,Subject: General English. Theory Max/Min: 100/36. Practical Max/Min: 0/0. Total: 100. Notes: Mandatory passing score 36%.,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
a5084ed7-36d3-4a67-8094-2339a164eddd,General Info,exam_general,1. MGSU Examination Overview,"Maharaja Ganga Singh University (MGSU) follows both Semester and Annual systems.
- Semester System: Jan-June (Sem 2, 4, 6) and July-Dec (Sem 1, 3, 5).
- CBCS (Choice Based Credit System): Includes internal assessment (20 marks) and external university exams (80 marks).
- Internal Assessment: Includes assignments (5), attendance (5), and unit tests (10 marks).",,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
a5a088fb-58e0-4cb2-a2a4-ed4c1594c946,General Info,exam_practical,3. Practical Examination System (Science & Arts),"Practical exams are mandatory for Science (Physics, Chemistry, Bio), Geography, and Psychology.
- Science Pattern: Experiment (15), Viva (5), Record File (5), Attendance (5). Total 30 Marks.
- Arts (Geography): Theory (75), Practical (25) including Map work, File, and Viva.
- Passing Practical: Fails in practical mean a Back/Due result. Min 11 marks out of 30 or 18 out of 50 are required.
- Viva-Voce: Oral examination where external examiners ask about definitions, instruments, and experiments.",,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
aaac97dc-bc23-41cc-a36b-0060f3e40573,History,milestone_1977,Milestone 1977,Post Graduation in History and Political Science,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
ac714d33-3935-4042-bb84-bedab0f390ac,History,milestone_1970,Milestone 1970,Recognized by UGC (2f and 12B),,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
b37d74c1-043b-4f98-8d06-bfab37c5508a,Exam Rule,exam_science_physics,Passing Rules: Science Physics,Subject: Physics. Theory Max/Min: 135/48. Practical Max/Min: 65/24. Total: 200. Notes: 3 papers of 45 marks each. 36% aggregate in theory + 36% in practical required.,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
c08f7dfc-be57-4f02-bdbd-e2f81c4b91b1,General Info,exam_cbc_grading,5. CBCS Grading (SGPA/CGPA),"MGSU uses a letter grade system:
- O (90-100%): Outstanding
- A+ (80-89%): Excellent
- A (70-79%): Very Good
- B+ (60-69%): Good
- B (50-59%): Above Average
- F (Below 36%): Fail (Result shows RT - Reappear in Theory)",,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
c370e4e2-7bcf-4801-b771-4a5b18939ec1,History,milestone_2004,Milestone 2004,Accredited as B+ by UGC,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
c649f183-c699-4b5d-a78f-e47d72f48be0,History,milestone_2016,Milestone 2016,"PG in Maths, Physics, Sanskrit started; UG in Public Admin",,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
c95ebd0d-8a80-46dc-9aea-eca2580f897d,General Info,library,College Library & Reading Room,"The library is rich with over 100,184 books. It includes a UGC section (28,932 books), SC/ST section (4,463 books), General section (62,161 books), and RUSA section (4,628 books). It subscribes to 43 journals and magazines, and several newspapers (Dainik Bhaskar, Rajasthan Patrika, etc.). Students have free access to open shelves.",,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
cbe02413-c019-43bb-8a4d-941094e2d5e7,General Info,history,College History Summary,"Established in 1945 at intermediate level with 47 students. Shifted to the present location in 1949 and upgraded to graduation level in Commerce. Seth K.L. Lohia built the original huge building, and more additions have been made over time. It was declared a Model College by the Govt of Rajasthan in 2006.",,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
d3d28c42-c476-4124-8e57-50136f40a0dd,History,milestone_1945,Milestone 1945,Established as Intermediate College,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
d977e2d7-fd79-4907-bd7a-fafdb8d76e22,General Info,hostel,Hostel Facility,"The hostel is situated on the college campus itself, just a stone's throw from the main college building. It is among the largest (perhaps the largest one) in Rajasthan with 128 rooms, one auditorium, and playgrounds. This is to say something about the farsightedness of that great visionary, Seth Kanhaiya Lal Lohia, that he built such a big hostel at a time when there was absolutely no need of such a big size. The fee structure is very reasonable and even poor students can afford it.",,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
ed8dad44-ba12-427a-8287-424d568b3aa1,Exam Rule,exam_compulsory_environmentalstudies,Passing Rules: Compulsory Environmental Studies,Subject: Environmental Studies. Theory Max/Min: 100/36. Practical Max/Min: 0/0. Total: 100. Notes: Mandatory passing score 36%.,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
f0569789-d3c5-4255-8890-6ddb4240f6ad,History,milestone_1982,Milestone 1982,PG in Zoology and UG in Urdu started,,2026-05-27 14:54:21.922751+00,2026-05-27 14:54:21.922751+00
